Country, Year, Best, High, Low 
Thailand,2015,0,1,0
Thailand,2015,1,1,1
Thailand,2015,2,2,2
Thailand,2015,1,1,1
Thailand,2015,1,1,1
Thailand,2015,0,1,0
Thailand,2015,2,2,2
Thailand,2015,3,3,3
Thailand,2015,0,1,0
Thailand,2015,1,1,1
Thailand,2015,1,1,1
Thailand,2015,2,2,2
Thailand,2015,1,1,1
Thailand,2015,2,2,2
Thailand,2015,1,1,0
Thailand,2015,1,1,0
Thailand,2015,1,1,1
Thailand,2015,1,1,1
Thailand,2015,1,1,1
Thailand,2015,1,1,1
Thailand,2015,1,1,1
Thailand,2015,3,3,3
Thailand,2015,3,3,3
Thailand,2015,1,1,1
Thailand,2015,2,2,2
Thailand,2015,2,2,2
Thailand,2015,1,1,1
Thailand,2015,2,2,2
Thailand,2015,3,3,3
Thailand,2015,1,1,1
Thailand,2015,2,2,2
Thailand,2015,3,3,3
Thailand,2015,2,2,2
Thailand,2015,1,1,1
Thailand,2015,2,2,2
Thailand,2015,4,4,4
Thailand,2015,1,1,1
Thailand,2015,1,1,1
Thailand,2015,1,1,1
Thailand,2008,1,1,1
Thailand,2006,1,1,1
Thailand,2006,1,1,1
Thailand,2004,1,1,1
Thailand,2005,1,1,1
Thailand,2007,2,2,2
Thailand,2006,1,1,1
Thailand,2006,1,1,1
Thailand,2006,1,1,1
Thailand,2013,3,4,3
Thailand,2013,2,2,2
Thailand,2006,1,1,1
Thailand,2006,3,3,3
Thailand,2007,1,1,1
Thailand,2004,2,2,2
Thailand,2005,1,1,1
Thailand,2006,1,1,1
Thailand,2006,1,1,1
Thailand,2007,1,1,1
Thailand,2007,1,1,1
Thailand,2009,1,1,1
Thailand,2006,1,1,1
Thailand,2007,2,2,2
Thailand,2008,1,1,1
Thailand,2009,3,3,2
Thailand,2005,1,1,1
Thailand,2007,1,1,1
Thailand,2006,1,1,1
Thailand,2005,1,1,1
Thailand,2009,1,1,1
Thailand,2006,1,1,1
Thailand,2006,1,1,1
Thailand,2006,1,1,1
Thailand,2006,1,1,1
Thailand,2007,1,1,1
Thailand,2006,1,1,1
Thailand,2006,1,1,1
Thailand,2006,1,1,1
Thailand,2006,1,1,1
Thailand,2005,1,1,1
Thailand,2006,2,2,2
Thailand,2006,1,1,1
Thailand,2004,1,1,1
Thailand,2005,1,1,1
Thailand,2005,1,1,1
Thailand,2008,1,1,1
Thailand,2008,1,1,1
Thailand,2007,1,1,1
Thailand,2007,1,1,1
Thailand,2007,1,1,1
Thailand,2006,1,1,1
Thailand,2006,1,1,1
Thailand,2006,1,1,1
Thailand,2006,1,1,1
Thailand,2004,1,1,1
Thailand,2004,1,1,1
Thailand,2006,1,1,1
Thailand,2007,1,1,1
Thailand,2008,1,1,1
Thailand,2005,1,1,1
Thailand,2005,1,1,1
Thailand,2006,1,1,1
Thailand,2006,2,2,2
Thailand,2006,1,1,1
Thailand,2006,2,2,2
Thailand,2006,1,1,1
Thailand,2007,1,1,1
Thailand,2007,2,2,2
Thailand,2008,1,1,1
Thailand,2005,1,1,1
Thailand,2005,1,1,1
Thailand,2007,2,2,2
Thailand,2004,1,1,1
Thailand,2005,0,1,0
Thailand,2005,1,1,1
Thailand,2006,1,1,1
Thailand,2006,1,1,1
Thailand,2007,1,1,1
Thailand,2007,2,2,2
Thailand,2004,1,1,1
